,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,-4.97,72.08,94,92,2.71
1,45.38,31.21,92,90,3.36
2,-46.6,68.71,76,88,15.01
3,-8.47,89.32,78,36,10.31
4,64.75,32.0,77,90,13.42
5,56.15,30.2,92,90,6.71
6,14.28,66.14,64,0,3.71
7,-25.24,77.0,22,0,13.87
8,-23.73,75.2,37,0,16.11
9,-23.7,75.2,37,0,16.11
10,-20.73,84.2,18,0,16.11
11,55.1,21.2,79,90,14.99
12,-31.7,68.94,94,90,3.36
13,-33.68,69.83,94,48,4.61
14,60.72,19.4,85,90,26.4
15,29.62,48.14,81,0,4.61
16,2.04,81.17,97,0,17.02
17,8.57,77.44,100,88,3.94
18,62.23,46.4,100,88,20.8
19,-0.95,75.2,83,75,6.93
20,45.39,31.21,92,90,3.36
21,-5.67,81.67,100,68,6.17
22,0.8,84.37,100,0,7.4
23,-8.61,83.29,83,12,4.5
24,-8.71,86.0,74,20,3.36
25,-8.62,85.67,98,12,7.29
26,35.13,52.48,50,75,6.93
27,29.16,46.84,61,36,5.84
28,16.27,58.9,61,32,4.38
29,19.73,71.13,60,75,5.82
30,-28.26,70.87,99,64,4.38
31,66.77,-36.91,0,20,4.16
32,71.92,-25.12,38,12,7.4
33,51.68,-8.56,55,20,2.15
34,62.67,-44.02,0,48,2.59
35,69.7,23.57,86,68,17.25
36,61.95,23.03,100,88,11.21
37,63.05,29.78,91,80,10.65
38,64.38,32.0,100,75,15.66
39,65.58,31.36,100,88,11.21
40,-19.15,51.79,97,76,2.37
41,28.23,53.32,87,76,2.15
42,-19.75,88.42,23,0,16.02
43,-0.72,77.44,100,24,3.71
44,26.18,71.06,77,75,14.99
45,54.72,12.77,79,80,4.94
46,77.48,14.57,87,76,3.71
47,-9.8,81.44,98,0,17.81
48,3.16,84.55,98,56,17.36
49,5.89,79.42,100,100,12.66
50,28.37,69.8,64,75,14.99
51,43.22,34.11,93,1,2.15
52,44.29,42.8,52,90,11.41
53,21.35,77.45,50,20,10.29
54,14.2,66.14,64,0,3.71
55,-25.85,66.2,68,0,4.7
56,-34.0,57.55,92,0,5.17
57,61.01,29.65,93,92,15.68
58,47.32,36.76,100,88,16.13
59,62.11,27.08,81,80,11.32
60,65.85,32.89,82,92,9.19
61,43.98,45.04,91,12,12.77
62,50.15,28.66,94,92,14.23
63,54.33,4.81,81,76,2.71
64,55.97,26.53,92,90,6.71
65,59.49,23.44,86,76,10.65
66,48.66,32.0,91,90,15.66
67,51.48,30.2,100,90,13.42
68,70.63,6.02,74,64,14.23
69,71.69,-20.8,30,48,2.71
70,71.97,-18.15,26,0,9.98
71,-32.25,73.4,35,40,10.29
72,32.41,52.45,100,1,6.62
73,-33.92,55.4,93,0,5.82
74,34.23,53.87,45,1,9.17
75,60.14,26.41,100,0,13.78
76,6.19,84.2,74,75,9.17
77,62.46,-13.01,75,90,2.24
